lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
0.0001087114337568058,32,,,,,,,,,,,,,,,,,
0.0001087114337568058,32,,,,,,,,,,,,,,,,,
0.0001087114337568058,32,,,,,,,,,,,,,,,,,
0.0001087114337568058,32,,,,,,,,,,,,,,,,,
,32,0.002035320270806551,0.03533680737018585,0.0901966392993927,0.3917751610279083,0,,,,,,,,,,,,
,33,,,,,0,0.02477237395942211,0.09563920646905899,0.09669742733240128,1.003249168395996,,,,,,,,
0.0001176950998185118,65,,,,,,,,,,,,,,,,,
0.0001176950998185118,65,,,,,,,,,,,,,,,,,
0.0001176950998185118,65,,,,,,,,,,,,,,,,,
0.0001176950998185118,65,,,,,,,,,,,,,,,,,
,65,0.0015416236128658056,0.03238082677125931,0.09166475385427475,0.35325270891189575,1,,,,,,,,,,,,
,67,,,,,1,0.0021341938991099596,0.030976470559835434,0.09669741243124008,0.32100924849510193,,,,,,,,
0.00012667876588021778,98,,,,,,,,,,,,,,,,,
0.00012667876588021778,98,,,,,,,,,,,,,,,,,
0.00012667876588021778,98,,,,,,,,,,,,,,,,,
0.00012667876588021778,98,,,,,,,,,,,,,,,,,
,98,0.0010131465969607234,0.02477976679801941,0.10939543694257736,0.2265155166387558,2,,,,,,,,,,,,
,101,,,,,2,0.002643406856805086,0.03655935078859329,0.09669739753007889,0.3838637173175812,,,,,,,,
0.0001356624319419238,131,,,,,,,,,,,,,,,,,
0.0001356624319419238,131,,,,,,,,,,,,,,,,,
0.0001356624319419238,131,,,,,,,,,,,,,,,,,
0.0001356624319419238,131,,,,,,,,,,,,,,,,,
,131,0.002081272890791297,0.027409404516220093,0.10085435956716537,0.2717721164226532,3,,,,,,,,,,,,
,135,,,,,3,0.0018489653011783957,0.02913624607026577,0.09669742733240128,0.3059438467025757,,,,,,,,
0.00014464609800362977,164,,,,,,,,,,,,,,,,,
0.00014464609800362977,164,,,,,,,,,,,,,,,,,
0.00014464609800362977,164,,,,,,,,,,,,,,,,,
0.00014464609800362977,164,,,,,,,,,,,,,,,,,
,164,0.0012725398410111666,0.028792064636945724,0.08226114511489868,0.3500080406665802,4,,,,,,,,,,,,
,0,,,,,,,,,,0.0017295436700806022,0.02390351891517639,0.09195023030042648,0.25996145606040955,,,,
,1,,,,,,,,,,0.0024222824722528458,0.029432382434606552,0.039159953594207764,0.7515937089920044,,,,
,2,,,,,,,,,,0.0006398108089342713,0.015310857445001602,0.07243724912405014,0.2113671600818634,,,,
,3,,,,,,,,,,0.0019256777595728636,0.026290412992239,0.09695577621459961,0.27115878462791443,,,,
,4,,,,,,,,,,0.001799662597477436,0.02767682820558548,0.08865968883037567,0.31216922402381897,,,,
