lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch
5.027442371020857e-07,5.027442371020857e-07,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,326,151.2172088623047,2419.475341796875,0.0,841.9730834960938,2419.474609375,0.14767301082611084,1211.6334228515625,0.0,1.0640692710876465,0.0,0.0,-1.0728240013122559,-1.0640692710876465,0,,,,,,,,,,,,,,,
5.054884742041713e-07,5.054884742041713e-07,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653,97.02518463134766,1552.4029541015625,0.0,1323.231201171875,1552.401611328125,0.09475107491016388,1752.0596923828125,0.0,1.0438345670700073,0.0,0.0,-1.0390596389770508,-1.0438345670700073,0,,,,,,,,,,,,,,,
5.083699231613612e-07,5.083699231613612e-07,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,980,85.75354766845703,1372.0567626953125,0.0,1931.8460693359375,1372.0548095703125,0.08374357968568802,833.9585571289062,0.0,1.0596765279769897,0.0,0.0,-1.0619031190872192,-1.0596765279769897,0,,,,,,,,,,,,,,,
5.111141602634468e-07,5.111141602634468e-07,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1307,69.35861206054688,1109.73779296875,0.0,2031.67626953125,1109.7357177734375,0.06773289293050766,3850.581787109375,0.0,1.0422004461288452,0.0,0.0,-1.0394928455352783,-1.0422004461288452,0,,,,,,,,,,,,,,,
5.139956092206368e-07,5.139956092206368e-07,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1634,61.18416213989258,978.9465942382812,0.0,2112.0234375,978.9444580078125,0.0597500279545784,1234.5155029296875,0.0,1.0557000637054443,0.0,0.0,-1.060344934463501,-1.0557000637054443,0,,,,,,,,,,,,,,,
5.167398463227224e-07,5.167398463227224e-07,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1961,73.12124633789062,1169.93994140625,0.0,2468.407470703125,1169.9375,0.07140731811523438,3043.886962890625,0.0,1.0407826900482178,0.0,0.0,-1.0678536891937256,-1.0407826900482178,0,,,,,,,,,,,,,,,
5.196212952799122e-07,5.196212952799122e-07,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2288,68.86104583740234,1101.7767333984375,0.0,2561.407958984375,1101.774169921875,0.06724695861339569,854.674560546875,0.0,1.0615872144699097,0.0,0.0,-1.0859265327453613,-1.0615872144699097,0,,,,,,,,,,,,,,,
5.223655323819979e-07,5.223655323819979e-07,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2615,51.07435607910156,817.189697265625,0.0,2299.9296875,817.1873779296875,0.04987715929746628,3736.8154296875,0.0,1.0408235788345337,0.0,0.0,-1.047314167022705,-1.0408235788345337,0,,,,,,,,,,,,,,,
5.251097694840835e-07,5.251097694840835e-07,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2942,50.740840911865234,811.8534545898438,0.0,2614.326904296875,811.850830078125,0.04955144226551056,4806.16064453125,0.0,1.037115454673767,0.0,0.0,-1.0601584911346436,-1.037115454673767,0,,,,,,,,,,,,,,,
5.279912184412734e-07,5.279912184412734e-07,3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3269,43.419254302978516,694.7080688476562,0.0,2728.5341796875,694.705322265625,0.042401447892189026,2256.293701171875,0.0,1.0259822607040405,0.0,0.0,-1.0453211069107056,-1.0259822607040405,0,,,,,,,,,,,,,,,
5.30735455543359e-07,5.30735455543359e-07,3596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3596,38.2020263671875,611.232421875,0.0,2424.69873046875,611.22998046875,0.037306517362594604,1104.986328125,0.0,1.0180796384811401,0.0,0.0,-1.0382778644561768,-1.0180796384811401,0,,,,,,,,,,,,,,,
5.336169045005489e-07,5.336169045005489e-07,3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3923,53.14710235595703,850.3536376953125,0.0,2864.377685546875,850.3507690429688,0.05190129205584526,5000.0,0.0,1.0443358421325684,0.0,0.0,-1.0673227310180664,-1.0443358421325684,0,,,,,,,,,,,,,,,
5.363611416026345e-07,5.363611416026345e-07,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4250,42.74397659301758,683.9036254882812,0.0,2805.288818359375,683.9008178710938,0.041741993278265,2797.06201171875,0.0,1.0530753135681152,0.0,0.0,-1.063313364982605,-1.0530753135681152,0,,,,,,,,,,,,,,,
5.392425905598245e-07,5.392425905598245e-07,4577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4577,40.045555114746094,640.7288818359375,0.0,2687.86328125,640.7261962890625,0.0391068235039711,5000.0,0.0,1.0043131113052368,0.0,0.0,-1.0215941667556763,-1.0043131113052368,0,,,,,,,,,,,,,,,
5.419868276619101e-07,5.419868276619101e-07,4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4904,39.24479675292969,627.916748046875,0.0,2630.773193359375,627.9141235351562,0.038324836641550064,4695.95703125,0.0,1.018882393836975,0.0,0.0,-1.0482577085494995,-1.018882393836975,0,,,,,,,,,,,,,,,
5.447310647639957e-07,5.447310647639957e-07,5231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5231,40.03175735473633,640.5081176757812,0.0,2650.162109375,640.5054931640625,0.03909335285425186,5000.0,0.0,1.0465127229690552,0.0,0.0,-1.075560450553894,-1.0465127229690552,0,,,,,,,,,,,,,,,
5.476125137211856e-07,5.476125137211856e-07,5558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5558,45.906803131103516,734.5088500976562,0.0,2860.60302734375,734.5059814453125,0.04483068734407425,5000.0,0.0,1.039046287536621,0.0,0.0,-1.065017580986023,-1.039046287536621,0,,,,,,,,,,,,,,,
5.503567508232712e-07,5.503567508232712e-07,5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885,43.14607238769531,690.337158203125,0.0,2948.63232421875,690.334228515625,0.04213465750217438,5000.0,0.0,1.0762569904327393,0.0,0.0,-1.0852550268173218,-1.0762569904327393,0,,,,,,,,,,,,,,,
5.532381997804611e-07,5.532381997804611e-07,6212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6212,36.346473693847656,581.5435791015625,0.0,2710.66162109375,581.5408935546875,0.03549443930387497,2395.218017578125,0.0,1.022249460220337,0.0,0.0,-1.0452443361282349,-1.022249460220337,0,,,,,,,,,,,,,,,
5.559824368825467e-07,5.559824368825467e-07,6539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6539,45.399742126464844,726.3958740234375,0.0,2901.2041015625,726.3929443359375,0.0443355068564415,5000.0,0.0,1.0523282289505005,0.0,0.0,-1.0707815885543823,-1.0523282289505005,0,,,,,,,,,,,,,,,
5.588638858397366e-07,5.588638858397366e-07,6866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6866,40.547828674316406,648.7652587890625,0.0,2938.869140625,648.7623291015625,0.03959731012582779,1885.074462890625,0.0,1.0365866422653198,0.0,0.0,-1.0519598722457886,-1.0365866422653198,0,,,,,,,,,,,,,,,
5.616081229418223e-07,5.616081229418223e-07,7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7193,39.113922119140625,625.82275390625,0.0,2932.427734375,625.81982421875,0.03819701075553894,4171.86181640625,0.0,1.0259052515029907,0.0,0.0,-1.0391476154327393,-1.0259052515029907,0,,,,,,,,,,,,,,,
5.644895718990122e-07,5.644895718990122e-07,7520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7520,38.81576156616211,621.0521850585938,0.0,2853.462890625,621.04931640625,0.03790584206581116,5000.0,0.0,1.053877830505371,0.0,0.0,-1.070554494857788,-1.053877830505371,0,,,,,,,,,,,,,,,
5.672338090010978e-07,5.672338090010978e-07,7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7847,40.513633728027344,648.2181396484375,0.0,2844.84521484375,648.2152709960938,0.039563920348882675,3763.636962890625,0.0,1.0845030546188354,0.0,0.0,-1.1028648614883423,-1.0845030546188354,0,,,,,,,,,,,,,,,
5.699780461031834e-07,5.699780461031834e-07,8174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8174,35.54413986206055,568.7062377929688,0.0,2991.6142578125,568.7032470703125,0.03471089154481888,1343.340087890625,0.0,1.0268056392669678,0.0,0.0,-1.0592389106750488,-1.0268056392669678,0,,,,,,,,,,,,,,,
5.728594950603733e-07,5.728594950603733e-07,8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8501,37.33849334716797,597.4158935546875,0.0,3032.332275390625,597.412841796875,0.036463186144828796,5000.0,0.0,1.0308083295822144,0.0,0.0,-1.0629830360412598,-1.0308083295822144,0,,,,,,,,,,,,,,,
5.756037321624589e-07,5.756037321624589e-07,8828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8828,38.8472900390625,621.556640625,0.0,3021.3740234375,621.5535888671875,0.03793662041425705,2564.97265625,0.0,1.0368353128433228,0.0,0.0,-1.0707957744598389,-1.0368353128433228,0,,,,,,,,,,,,,,,
5.784851811196488e-07,5.784851811196488e-07,9155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9155,37.09445571899414,593.5112915039062,0.0,3110.214599609375,593.5081787109375,0.036224864423274994,1550.92724609375,0.0,1.0255889892578125,0.0,0.0,-1.0396391153335571,-1.0255889892578125,0,,,,,,,,,,,,,,,
5.812294182217344e-07,5.812294182217344e-07,9482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
